dhikr_id,category_id,text_ar,text_en,benefits_ar,benefits_en,reference
18,3,"الْحَمْدُ لِلَّهِ","All praise is due to Allah.","من قالها شكر الله.","Gratitude remembrance.","صحيح مسلم 2738"
19,3,"اللَّهُ أَكْبَر","Allah is the Greatest.","تكبير يُعظّم الله.","Glorifies Allah’s greatness.","صحيح مسلم 2737"
20,3,"سُبْحَانَ اللَّهِ وَبِحَمْدِهِ عَدَدَ خَلْقِهِ...","Glory be to Allah and praise Him as many times as His creation...","ذكر يُضاعف الأجر.","Multiplies the reward greatly.","صحيح مسلم 2726"

21,4,"أستغفر الله وأتوب إليه","I seek Allah’s forgiveness and repent to Him.","سبب لمغفرة الذنوب.","A cause for forgiveness.","صحيح مسلم 2702"
22,4,"سيد الاستغفار: اللهم أنت ربي لا إله إلا أنت...","The best form of seeking forgiveness...","من قاله موقنًا ومات دخل الجنة.","Guaranteed Paradise if said sincerely.","صحيح البخاري 6306"
23,4,"اللهم اغفر لي وتب علي إنك أنت التواب الرحيم","O Allah, forgive me and accept my repentance...","دعاء للتوبة والمغفرة.","Repentance and forgiveness.","سنن الترمذي 3420"
24,4,"أستغفر الله العظيم الذي لا إله إلا هو الحي القيوم وأتوب إليه","I seek forgiveness from Allah, the Ever-Living...","يمحو الذنوب بإذن الله.","Erases sins by Allah’s will.","سنن ابن ماجه 3814"

25,5,"اللّهُـمَّ صَلِّ وَسَلِّمْ عَلَى نَبِيِّنَا مُحَمَّد","O Allah, send prayers and peace upon our Prophet Muhammad.","سبب للبركة والشفاعة.","Brings blessings and intercession.","سنن الترمذي 484"
26,5,"اللهم صل وسلم على محمد عدد ما ذكره الذاكرون","O Allah, send prayers upon Muhammad as many times as He is remembered.","تزيد الأجر مع التكرار.","Increases rewards with repetition.","البيهقي في الشعب"
27,5,"اللهم صل وسلم على سيدنا محمد في الأولين والآخرين","O Allah, send blessings upon our Prophet in the first and the last.","دعاء جامع في الصلاة عليه.","Comprehensive salutation.","النسائي الكبرى 1290"

28,6,"اللّهُـمَّ إِنِّي أَعُوذُ بِكَ مِنَ الْهَمِّ وَالْحَزَنِ...","O Allah, I seek refuge in You from worry and grief...","إزالة الهم والحزن.","Removes worry and grief.","صحيح البخاري 6369"
29,6,"حَسْبِيَ اللَّهُ لَا إِلَهَ إِلَّا هُوَ...","Allah is sufficient for me, there is no deity except Him...","من قالها كفاه الله.","Allah suffices whoever says it.","صحيح أبي داود 5081"
30,6,"اللّهُمَّ إِنِّي أَعُوذُ بِكَ مِنَ الْجُبْنِ وَالْبُخْلِ...","O Allah, I seek refuge in You from cowardice and miserliness...","يُقوي النفس ويزيل الخوف.","Strengthens courage and faith.","صحيح البخاري 2820"
31,6,"اللّهُمَّ اجعلني من التوابين واجعلني من المتطهرين","O Allah, make me among the repentant and purified.","طهارة النفس والقلب.","Purity of heart and soul.","سنن الترمذي 3565"

32,7,"أستغفر الله ثلاثًا بعد الصلاة","I seek Allah’s forgiveness three times after prayer.","غفران الذنوب بعد الصلاة.","Forgiveness after prayers.","صحيح مسلم 591"
33,7,"اللهم أنت السلام ومنك السلام تباركت يا ذا الجلال والإكرام","O Allah, You are Peace and from You is peace...","ذكر بعد السلام من الصلاة.","Said after concluding prayer.","صحيح مسلم 591"
34,7,"لا إله إلا الله وحده لا شريك له...","None has the right to be worshiped but Allah alone...","ذكر بعد كل صلاة.","Said after every obligatory prayer.","صحيح مسلم 594"
35,7,"سُبْحَانَ اللَّهِ (33) وَالْحَمْدُ لِلَّهِ (33) وَاللَّهُ أَكْبَر (34)","33× سبحان الله، 33× الحمد لله، 34× الله أكبر.","تُكمل مائة ذكر بعد الصلاة.","Completes 100 dhikr after prayer.","صحيح مسلم 597"

36,3,"لا حول ولا قوة إلا بالله","There is no power and no strength except with Allah.","كنز من كنوز الجنة.","A treasure from Paradise.","صحيح البخاري 4205"
37,3,"حَسْبُنَا اللَّهُ وَنِعْمَ الْوَكِيلُ","Allah is sufficient for us and He is the best disposer of affairs.","تثبيت في الشدائد.","Strength in hardships.","صحيح البخاري 4563"
38,3,"اللّهُـمَّ اجعل القرآن ربيع قلوبنا","O Allah, make the Qur'an the spring of our hearts.","راحة للقلب ونور للصدر.","Comfort to the heart, light to the chest.","صحيح الحاكم 1/509"
39,3,"اللّهُمَّ إني أسألك الجنة وأعوذ بك من النار","O Allah, I ask You for Paradise and seek refuge from Hellfire.","من أعظم الدعاء.","Among the greatest supplications.","صحيح الترمذي 2572"
40,3,"اللّهُمَّ آتِ نَفْسِي تَقْوَاهَا","O Allah, grant my soul its piety.","دعاء لتزكية النفس.","Purification of the soul.","صحيح مسلم 2722"

41,1,"اللّهُمَّ اجعل يومي هذا خيرًا من أمسه","O Allah, make this day better than yesterday.","دعاء لبداية اليوم بالخير.","A prayer for a blessed day.","أثر حسن"
42,2,"اللّهُمَّ بارك لنا في نومنا ويقظتنا","O Allah, bless our sleep and awakening.","دعاء للراحة والبركة.","Supplication for comfort and blessing.","أثر حسن"
43,4,"اللّهُمَّ تب علينا توبة نصوحًا","O Allah, accept from us sincere repentance.","توبة نصوح خالصة.","Sincere repentance.","أثر حسن"
44,5,"اللّهُمَّ صل على محمد عدد أنفاس الخلائق","O Allah, send prayers upon Muhammad as many as the breaths of creation.","مضاعفة الثواب.","Multiplies the reward immensely.","أثر حسن"
45,6,"اللّهُمَّ اكشف همّي ونفّس كربي","O Allah, relieve my distress and remove my sorrow.","راحة النفس وزوال الكرب.","Relief and tranquility.","أثر حسن"
46,7,"اللّهُمَّ تقبل صلاتنا واغفر زلّاتنا","O Allah, accept our prayers and forgive our mistakes.","دعاء بعد الصلاة.","Supplication after prayer.","أثر حسن"
47,3,"اللّهُمَّ اجعل لساننا رطبًا بذكرك","O Allah, make our tongues moist with Your remembrance.","دوام الذكر.","Continuous remembrance.","أثر حسن"
48,1,"اللّهُمَّ اجعل صباحنا صباح خيرٍ وبركة","O Allah, make our morning full of good and blessings.","دعاء لبداية اليوم.","Morning blessing.","أثر حسن"
49,2,"اللّهُمَّ اجعل نومنا راحةً لنا وشفاءً لأجسادنا","O Allah, make our sleep rest for our bodies.","دعاء قبل النوم.","Supplication before sleep.","أثر حسن"
50,4,"اللّهُمَّ اغسل قلوبنا من الذنوب وطهّرها من العيوب","O Allah, cleanse our hearts of sins and purify them from faults.","طهارة القلب.","Purity of heart.","أثر حسن"
