ayah_no_surah,ayah_no_quran,ayah_ar,ayah_en,ruko_no,juz_no,manzil_no,hizb_quarter,sajdah_ayah,sajdah_no,total_ayah_quran,no_of_word_ayah,list_of_words
4,11,وٱلذين يؤمنون بمآ أنزل إليك ومآ أنزل من قبلك وبٱلءاخرة هم يوقنون,"and who believe in what has been revealed to you ˹O Prophet˺ and what was revealed before you, and have sure faith in the Hereafter.",2,1,1,1,False,,6236,12,"[وٱلذين,يؤمنون,بمآ,أنزل,إليك,ومآ,أنزل,من,قبلك,وبٱلءاخرة,هم,يوقنون]"
5,12,أو۟لٰٓئك علىٰ هدۭى من ربهم ۖ وأو۟لٰٓئك هم ٱلمفلحون,"It is they who are ˹truly˺ guided by their Lord, and it is they who will be successful.",2,1,1,1,False,,6236,9,"[أو۟لٰٓئك,علىٰ,هدۭى,من,ربهم,ۖ,وأو۟لٰٓئك,هم,ٱلمفلحون]"
6,13,إن ٱلذين كفروا۟ سوآء عليهم ءأنذرتهم أم لم تنذرهم لا يؤمنون,"As for those who persist in disbelief, it is the same whether you warn them or not—they will never believe.",2,1,1,1,False,,6236,11,"[إن,ٱلذين,كفروا۟,سوآء,عليهم,ءأنذرتهم,أم,لم,تنذرهم,لا,يؤمنون]"
7,14,ختم ٱلله علىٰ قلوبهم وعلىٰ سمعهم ۖ وعلىٰٓ أبصٰرهم غشٰوةۭ ۖ ولهم عذاب عظيمۭ,"Allah has sealed their hearts and their hearing, and their sight is covered. They will suffer a tremendous punishment.",2,1,1,1,False,,6236,14,"[ختم,ٱلله,علىٰ,قلوبهم,وعلىٰ,سمعهم,ۖ,وعلىٰٓ,أبصٰرهم,غشٰوةۭ,ۖ,ولهم,عذاب,عظيمۭ]"
8,15,ومن ٱلناس من يقول ءامنا بٱلله وبٱليوم ٱلءاخر وما هم بمؤمنين,"And there are some who say, “We believe in Allah and the Last Day,” yet they are not ˹true˺ believers.",3,1,1,1,False,,6236,11,"[ومن,ٱلناس,من,يقول,ءامنا,بٱلله,وبٱليوم,ٱلءاخر,وما,هم,بمؤمنين]"
9,16,يخٰدعون ٱلله وٱلذين ءامنوا۟ وما يخدعون إلآ أنفسهم وما يشعرون,"They seek to deceive Allah and the believers, yet they only deceive themselves, but they fail to perceive it.",3,1,1,1,False,,6236,10,"[يخٰدعون,ٱلله,وٱلذين,ءامنوا۟,وما,يخدعون,إلآ,أنفسهم,وما,يشعرون]"
10,17,فى قلوبهم مرضۭ فزادهم ٱلله مرضۭا ۖ ولهم عذاب أليمۢ بما كانوا۟ يكذبون,"There is sickness in their hearts, and Allah ˹only˺ lets their sickness increase. They will suffer a painful punishment for their lies.",3,1,1,1,False,,6236,13,"[فى,قلوبهم,مرضۭ,فزادهم,ٱلله,مرضۭا,ۖ,ولهم,عذاب,أليمۢ,بما,كانوا۟,يكذبون]"
11,18,وإذا قيل لهم لا تفسدوا۟ فى ٱلأرض قالوٓا۟ إنما نحن مصلحون,"When they are told, “Do not spread corruption in the land,” they reply, “We are only peace-makers!”",3,1,1,1,False,,6236,11,"[وإذا,قيل,لهم,لا,تفسدوا۟,فى,ٱلأرض,قالوٓا۟,إنما,نحن,مصلحون]"
12,19,ألآ إنهم هم ٱلمفسدون ولٰكن لا يشعرون,"Indeed, it is they who are the corruptors, but they fail to perceive it.",3,1,1,1,False,,6236,7,"[ألآ,إنهم,هم,ٱلمفسدون,ولٰكن,لا,يشعرون]"
13,20,وإذا قيل لهم ءامنوا۟ كمآ ءامن ٱلناس قالوٓا۟ أنؤمن كمآ ءامن ٱلسفهآء ۗ ألآ إنهم هم ٱلسفهآء ولٰكن لا يعلمون,"And when they are told, “Believe as others believe,” they reply, “Will we believe as the fools believe?” Indeed, it is they who are fools, but they do not know.",3,1,1,1,False,,6236,20,"[وإذا,قيل,لهم,ءامنوا۟,كمآ,ءامن,ٱلناس,قالوٓا۟,أنؤمن,كمآ,ءامن,ٱلسفهآء,ۗ,ألآ,إنهم,هم,ٱلسفهآء,ولٰكن,لا,يعلمون]"
14,21,وإذا لقوا۟ ٱلذين ءامنوا۟ قالوٓا۟ ءامنا وإذا خلوا۟ إلىٰ شيٰطينهم قالوٓا۟ إنا معكم إنما نحن مستهزءون,"When they meet the believers they say, “We believe.” But when alone with their evil associates they say, “We are definitely with you; we were only mocking.”",3,1,1,1,False,,6236,16,"[وإذا,لقوا۟,ٱلذين,ءامنوا۟,قالوٓا۟,ءامنا,وإذا,خلوا۟,إلىٰ,شيٰطينهم,قالوٓا۟,إنا,معكم,إنما,نحن,مستهزءون]"
15,22,ٱلله يستهزئ بهم ويمدهم فى طغيٰنهم يعمهون,"Allah will throw their mockery back at them, leaving them to continue wandering blindly in their defiance.",3,1,1,1,False,,6236,7,"[ٱلله,يستهزئ,بهم,ويمدهم,فى,طغيٰنهم,يعمهون]"
16,23,أو۟لٰٓئك ٱلذين ٱشتروا۟ ٱلضلٰلة بٱلهدىٰ فما ربحت تجٰرتهم وما كانوا۟ مهتدين,"They are the ones who trade guidance for misguidance. But this trade is profitless, and they are not ˹rightly˺ guided.",3,1,1,1,False,,6236,11,"[أو۟لٰٓئك,ٱلذين,ٱشتروا۟,ٱلضلٰلة,بٱلهدىٰ,فما,ربحت,تجٰرتهم,وما,كانوا۟,مهتدين]"
17,24,مثلهم كمثل ٱلذى ٱستوقد نارۭا فلمآ أضآءت ما حولهۥ ذهب ٱلله بنورهم وتركهم فى ظلمٰتۢ لا يبصرون,"Their example is that of someone who kindles a fire, but when it lights up all around them, Allah takes away their light, leaving them in complete darkness—unable to see.",3,1,1,1,False,,6236,17,"[مثلهم,كمثل,ٱلذى,ٱستوقد,نارۭا,فلمآ,أضآءت,ما,حولهۥ,ذهب,ٱلله,بنورهم,وتركهم,فى,ظلمٰتۢ,لا,يبصرون]"
18,25,صمۢ بكم عمىۭ فهم لا يرجعون,"They are ˹wilfully˺ deaf, dumb, and blind, so they will never return ˹to the Right Path˺.",3,1,1,1,False,,6236,6,"[صمۢ,بكم,عمىۭ,فهم,لا,يرجعون]"
19,26,أو كصيبۢ من ٱلسمآء فيه ظلمٰتۭ ورعدۭ وبرقۭ يجعلون أصٰبعهم فىٓ ءاذانهم من ٱلصوٰعق حذر ٱلموت ۚ وٱلله محيطۢ بٱلكٰفرين,"Or ˹those caught in˺ a rainstorm from the sky with darkness, thunder, and lightning. They press their fingers into their ears at the sound of every thunder-clap for fear of death. And Allah encompasses the disbelievers ˹by His might˺.",3,1,1,1,False,,6236,20,"[أو,كصيبۢ,من,ٱلسمآء,فيه,ظلمٰتۭ,ورعدۭ,وبرقۭ,يجعلون,أصٰبعهم,فىٓ,ءاذانهم,من,ٱلصوٰعق,حذر,ٱلموت,ۚ,وٱلله,محيطۢ,بٱلكٰفرين]"
20,27,يكاد ٱلبرق يخطف أبصٰرهم ۖ كلمآ أضآء لهم مشوا۟ فيه وإذآ أظلم عليهم قاموا۟ ۚ ولو شآء ٱلله لذهب بسمعهم وأبصٰرهم ۚ إن ٱلله علىٰ كل شىءۢ قديرۭ,"It is as if the lightning were about to snatch away their sight. Whenever lightning strikes, they walk in its light, but when darkness covers them, they stand still. Had Allah willed, He could have taken away their hearing and sight. Surely Allah is Most Capable of everything.",3,1,1,1,False,,6236,28,"[يكاد,ٱلبرق,يخطف,أبصٰرهم,ۖ,كلمآ,أضآء,لهم,مشوا۟,فيه,وإذآ,أظلم,عليهم,قاموا۟,ۚ,ولو,شآء,ٱلله,لذهب,بسمعهم,وأبصٰرهم,ۚ,إن,ٱلله,علىٰ,كل,شىءۢ,قديرۭ]"
21,28,يٰٓأيها ٱلناس ٱعبدوا۟ ربكم ٱلذى خلقكم وٱلذين من قبلكم لعلكم تتقون,"O humanity! Worship your Lord, Who created you and those before you, so that you may become mindful ˹of Him˺.",4,1,1,1,False,,6236,11,"[يٰٓأيها,ٱلناس,ٱعبدوا۟,ربكم,ٱلذى,خلقكم,وٱلذين,من,قبلكم,لعلكم,تتقون]"
22,29,ٱلذى جعل لكم ٱلأرض فرٰشۭا وٱلسمآء بنآءۭ وأنزل من ٱلسمآء مآءۭ فأخرج بهۦ من ٱلثمرٰت رزقۭا لكم ۖ فلا تجعلوا۟ لله أندادۭا وأنتم تعلمون,"˹He is the One˺ Who has made the earth a place of settlement for you and the sky a canopy; and sends down rain from the sky, causing fruits to grow as a provision for you. So do not knowingly set up equals to Allah ˹in worship˺.",4,1,1,1,False,,6236,24,"[ٱلذى,جعل,لكم,ٱلأرض,فرٰشۭا,وٱلسمآء,بنآءۭ,وأنزل,من,ٱلسمآء,مآءۭ,فأخرج,بهۦ,من,ٱلثمرٰت,رزقۭا,لكم,ۖ,فلا,تجعلوا۟,لله,أندادۭا,وأنتم,تعلمون]"
23,30,وإن كنتم فى ريبۢ مما نزلنا علىٰ عبدنا فأتوا۟ بسورةۢ من مثلهۦ وٱدعوا۟ شهدآءكم من دون ٱلله إن كنتم صٰدقين,"And if you are in doubt about what We have revealed to Our servant, then produce a sûrah like it and call your helpers other than Allah, if what you say is true.",4,1,1,1,False,,6236,20,"[وإن,كنتم,فى,ريبۢ,مما,نزلنا,علىٰ,عبدنا,فأتوا۟,بسورةۢ,من,مثلهۦ,وٱدعوا۟,شهدآءكم,من,دون,ٱلله,إن,كنتم,صٰدقين]"
24,31,فإن لم تفعلوا۟ ولن تفعلوا۟ فٱتقوا۟ ٱلنار ٱلتى وقودها ٱلناس وٱلحجارة ۖ أعدت للكٰفرين,"But if you are unable to do so—and you will never be able to do so—then fear the Fire fuelled with people and stones, which is prepared for the disbelievers.",4,1,1,1,False,,6236,14,"[فإن,لم,تفعلوا۟,ولن,تفعلوا۟,فٱتقوا۟,ٱلنار,ٱلتى,وقودها,ٱلناس,وٱلحجارة,ۖ,أعدت,للكٰفرين]"
25,32,وبشر ٱلذين ءامنوا۟ وعملوا۟ ٱلصٰلحٰت أن لهم جنٰتۢ تجرى من تحتها ٱلأنهٰر ۖ كلما رزقوا۟ منها من ثمرةۢ رزقۭا ۙ قالوا۟ هٰذا ٱلذى رزقنا من قبل ۖ وأتوا۟ بهۦ متشٰبهۭا ۖ ولهم فيهآ أزوٰجۭ مطهرةۭ ۖ وهم فيها خٰلدون,"Give good news ˹O Prophet˺ to those who believe and do good that they will have Gardens under which rivers flow. Whenever provided with fruit, they will say, “This is what we were given before,” for they will be served fruit that looks similar ˹but tastes different˺. They will have pure spouses, and they will be there forever.",4,1,1,1,False,,6236,39,"[وبشر,ٱلذين,ءامنوا۟,وعملوا۟,ٱلصٰلحٰت,أن,لهم,جنٰتۢ,تجرى,من,تحتها,ٱلأنهٰر,ۖ,كلما,رزقوا۟,منها,من,ثمرةۢ,رزقۭا,ۙ,قالوا۟,هٰذا,ٱلذى,رزقنا,من,قبل,ۖ,وأتوا۟,بهۦ,متشٰبهۭا,ۖ,ولهم,فيهآ,أزوٰجۭ,مطهرةۭ,ۖ,وهم,فيها,خٰلدون]"
26,33,۞ إن ٱلله لا يستحىۦٓ أن يضرب مثلۭا ما بعوضةۭ فما فوقها ۚ فأما ٱلذين ءامنوا۟ فيعلمون أنه ٱلحق من ربهم ۖ وأما ٱلذين كفروا۟ فيقولون ماذآ أراد ٱلله بهٰذا مثلۭا ۘ يضل بهۦ كثيرۭا ويهدى بهۦ كثيرۭا ۚ وما يضل بهۦٓ إلا ٱلفٰسقين,"Surely Allah does not shy away from using the parable of a mosquito or what is even smaller. As for the believers, they know that it is the truth from their Lord. And as for the disbelievers, they argue, “What does Allah mean by such a parable?” Through this ˹test˺, He leaves many to stray, and guides many. And He leaves none to stray except the rebellious—",4,1,1,2,False,,6236,44,"[۞,إن,ٱلله,لا,يستحىۦٓ,أن,يضرب,مثلۭا,ما,بعوضةۭ,فما,فوقها,ۚ,فأما,ٱلذين,ءامنوا۟,فيعلمون,أنه,ٱلحق,من,ربهم,ۖ,وأما,ٱلذين,كفروا۟,فيقولون,ماذآ,أراد,ٱلله,بهٰذا,مثلۭا,ۘ,يضل,بهۦ,كثيرۭا,ويهدى,بهۦ,كثيرۭا,ۚ,وما,يضل,بهۦٓ,إلا,ٱلفٰسقين]"
27,34,ٱلذين ينقضون عهد ٱلله منۢ بعد ميثٰقهۦ ويقطعون مآ أمر ٱلله بهۦٓ أن يوصل ويفسدون فى ٱلأرض ۚ أو۟لٰٓئك هم ٱلخٰسرون,"those who violate Allah’s covenant after it has been affirmed, break whatever ˹ties˺ Allah has ordered to be maintained, and spread corruption in the land. It is they who are the ˹true˺ losers.",4,1,1,2,False,,6236,21,"[ٱلذين,ينقضون,عهد,ٱلله,منۢ,بعد,ميثٰقهۦ,ويقطعون,مآ,أمر,ٱلله,بهۦٓ,أن,يوصل,ويفسدون,فى,ٱلأرض,ۚ,أو۟لٰٓئك,هم,ٱلخٰسرون]"
28,35,كيف تكفرون بٱلله وكنتم أموٰتۭا فأحيٰكم ۖ ثم يميتكم ثم يحييكم ثم إليه ترجعون,"How can you deny Allah? You were lifeless and He gave you life, then He will cause you to die and again bring you to life, and then to Him you will ˹all˺ be returned.",4,1,1,2,False,,6236,14,"[كيف,تكفرون,بٱلله,وكنتم,أموٰتۭا,فأحيٰكم,ۖ,ثم,يميتكم,ثم,يحييكم,ثم,إليه,ترجعون]"
29,36,هو ٱلذى خلق لكم ما فى ٱلأرض جميعۭا ثم ٱستوىٰٓ إلى ٱلسمآء فسوىٰهن سبع سمٰوٰتۢ ۚ وهو بكل شىء عليمۭ,"He is the One Who created everything in the earth for you. Then He turned towards the heaven, forming it into seven heavens. And He has ˹perfect˺ knowledge of all things.",4,1,1,2,False,,6236,20,"[هو,ٱلذى,خلق,لكم,ما,فى,ٱلأرض,جميعۭا,ثم,ٱستوىٰٓ,إلى,ٱلسمآء,فسوىٰهن,سبع,سمٰوٰتۢ,ۚ,وهو,بكل,شىء,عليمۭ]"
30,37,وإذ قال ربك للملٰٓئكة إنى جاعلۭ فى ٱلأرض خليفةۭ ۖ قالوٓا۟ أتجعل فيها من يفسد فيها ويسفك ٱلدمآء ونحن نسبح بحمدك ونقدس لك ۖ قال إنىٓ أعلم ما لا تعلمون,"˹Remember˺ when your Lord said to the angels, “I am going to place a successive ˹human˺ authority on earth.” They asked ˹Allah˺, “Will You place in it someone who will spread corruption there and shed blood while we glorify Your praises and proclaim Your holiness?” Allah responded, “I know what you do not know.”",5,1,1,2,False,,6236,30,"[وإذ,قال,ربك,للملٰٓئكة,إنى,جاعلۭ,فى,ٱلأرض,خليفةۭ,ۖ,قالوٓا۟,أتجعل,فيها,من,يفسد,فيها,ويسفك,ٱلدمآء,ونحن,نسبح,بحمدك,ونقدس,لك,ۖ,قال,إنىٓ,أعلم,ما,لا,تعلمون]"
31,38,وعلم ءادم ٱلأسمآء كلها ثم عرضهم على ٱلملٰٓئكة فقال أنۢبـٔونى بأسمآء هٰٓؤلآء إن كنتم صٰدقين,"He taught Adam the names of all things, then He presented them to the angels and said, “Tell Me the names of these, if what you say is true?”",5,1,1,2,False,,6236,15,"[وعلم,ءادم,ٱلأسمآء,كلها,ثم,عرضهم,على,ٱلملٰٓئكة,فقال,أنۢبـٔونى,بأسمآء,هٰٓؤلآء,إن,كنتم,صٰدقين]"
32,39,قالوا۟ سبحٰنك لا علم لنآ إلا ما علمتنآ ۖ إنك أنت ٱلعليم ٱلحكيم,"They replied, “Glory be to You! We have no knowledge except what You have taught us. You are truly the All-Knowing, All-Wise.”",5,1,1,2,False,,6236,13,"[قالوا۟,سبحٰنك,لا,علم,لنآ,إلا,ما,علمتنآ,ۖ,إنك,أنت,ٱلعليم,ٱلحكيم]"
33,40,قال يٰٓـٔادم أنۢبئهم بأسمآئهم ۖ فلمآ أنۢبأهم بأسمآئهم قال ألم أقل لكم إنىٓ أعلم غيب ٱلسمٰوٰت وٱلأرض وأعلم ما تبدون وما كنتم تكتمون,"Allah said, “O Adam! Inform them of their names.” Then when Adam did, Allah said, “Did I not tell you that I know the secrets of the heavens and the earth, and I know what you reveal and what you conceal?”",5,1,1,2,False,,6236,23,"[قال,يٰٓـٔادم,أنۢبئهم,بأسمآئهم,ۖ,فلمآ,أنۢبأهم,بأسمآئهم,قال,ألم,أقل,لكم,إنىٓ,أعلم,غيب,ٱلسمٰوٰت,وٱلأرض,وأعلم,ما,تبدون,وما,كنتم,تكتمون]"
34,41,وإذ قلنا للملٰٓئكة ٱسجدوا۟ لءادم فسجدوٓا۟ إلآ إبليس أبىٰ وٱستكبر وكان من ٱلكٰفرين,"And ˹remember˺ when We said to the angels, “Prostrate before Adam,” becoming unfaithful.",5,1,1,2,False,,6236,13,"[وإذ,قلنا,للملٰٓئكة,ٱسجدوا۟,لءادم,فسجدوٓا۟,إلآ,إبليس,أبىٰ,وٱستكبر,وكان,من,ٱلكٰفرين]"
35,42,وقلنا يٰٓـٔادم ٱسكن أنت وزوجك ٱلجنة وكلا منها رغدا حيث شئتما ولا تقربا هٰذه ٱلشجرة فتكونا من ٱلظٰلمين,"We cautioned, “O Adam! Live with your wife in Paradise and eat as freely as you please, but do not approach this tree, or else you will be wrongdoers.”",5,1,1,2,False,,6236,18,"[وقلنا,يٰٓـٔادم,ٱسكن,أنت,وزوجك,ٱلجنة,وكلا,منها,رغدا,حيث,شئتما,ولا,تقربا,هٰذه,ٱلشجرة,فتكونا,من,ٱلظٰلمين]"
36,43,فأزلهما ٱلشيطٰن عنها فأخرجهما مما كانا فيه ۖ وقلنا ٱهبطوا۟ بعضكم لبعض عدوۭ ۖ ولكم فى ٱلأرض مستقرۭ ومتٰع إلىٰ حينۢ,"But Satan deceived them—leading to their fall from the ˹blissful˺ state they were in, You will find in the earth a residence and provision for your appointed stay.”",5,1,1,2,False,,6236,21,"[فأزلهما,ٱلشيطٰن,عنها,فأخرجهما,مما,كانا,فيه,ۖ,وقلنا,ٱهبطوا۟,بعضكم,لبعض,عدوۭ,ۖ,ولكم,فى,ٱلأرض,مستقرۭ,ومتٰع,إلىٰ,حينۢ]"
37,44,فتلقىٰٓ ءادم من ربهۦ كلمٰتۢ فتاب عليه ۚ إنهۥ هو ٱلتواب ٱلرحيم,"Then Adam was inspired with words ˹of prayer˺ by his Lord, so He accepted his repentance. Surely He is the Accepter of Repentance, Most Merciful.",5,1,1,2,False,,6236,12,"[فتلقىٰٓ,ءادم,من,ربهۦ,كلمٰتۢ,فتاب,عليه,ۚ,إنهۥ,هو,ٱلتواب,ٱلرحيم]"
38,45,قلنا ٱهبطوا۟ منها جميعۭا ۖ فإما يأتينكم منى هدۭى فمن تبع هداى فلا خوف عليهم ولا هم يحزنون,"We said, “Descend all of you! Then when guidance comes to you from Me, whoever follows it, there will be no fear for them, nor will they grieve.",5,1,1,2,False,,6236,18,"[قلنا,ٱهبطوا۟,منها,جميعۭا,ۖ,فإما,يأتينكم,منى,هدۭى,فمن,تبع,هداى,فلا,خوف,عليهم,ولا,هم,يحزنون]"
39,46,وٱلذين كفروا۟ وكذبوا۟ بـٔايٰتنآ أو۟لٰٓئك أصحٰب ٱلنار ۖ هم فيها خٰلدون,But those who disbelieve and deny Our signs will be the residents of the Fire. They will be there forever.”,5,1,1,2,False,,6236,11,"[وٱلذين,كفروا۟,وكذبوا۟,بـٔايٰتنآ,أو۟لٰٓئك,أصحٰب,ٱلنار,ۖ,هم,فيها,خٰلدون]"
40,47,يٰبنىٓ إسرٰٓءيل ٱذكروا۟ نعمتى ٱلتىٓ أنعمت عليكم وأوفوا۟ بعهدىٓ أوف بعهدكم وإيٰى فٱرهبون,"O children of Israel! Remember My favours upon you. Fulfil your covenant and I will fulfil Mine, and stand in awe of Me ˹alone˺.",6,1,1,2,False,,6236,13,"[يٰبنىٓ,إسرٰٓءيل,ٱذكروا۟,نعمتى,ٱلتىٓ,أنعمت,عليكم,وأوفوا۟,بعهدىٓ,أوف,بعهدكم,وإيٰى,فٱرهبون]"
41,48,وءامنوا۟ بمآ أنزلت مصدقۭا لما معكم ولا تكونوٓا۟ أول كافرۭ بهۦ ۖ ولا تشتروا۟ بـٔايٰتى ثمنۭا قليلۭا وإيٰى فٱتقون,Believe in My revelations which confirm your Scriptures. And be mindful of Me.,6,1,1,2,False,,6236,19,"[وءامنوا۟,بمآ,أنزلت,مصدقۭا,لما,معكم,ولا,تكونوٓا۟,أول,كافرۭ,بهۦ,ۖ,ولا,تشتروا۟,بـٔايٰتى,ثمنۭا,قليلۭا,وإيٰى,فٱتقون]"
42,49,ولا تلبسوا۟ ٱلحق بٱلبٰطل وتكتموا۟ ٱلحق وأنتم تعلمون,Do not mix truth with falsehood or hide the truth knowingly.,6,1,1,2,False,,6236,8,"[ولا,تلبسوا۟,ٱلحق,بٱلبٰطل,وتكتموا۟,ٱلحق,وأنتم,تعلمون]"
43,50,وأقيموا۟ ٱلصلوٰة وءاتوا۟ ٱلزكوٰة وٱركعوا۟ مع ٱلرٰكعين,"Establish prayer, pay alms-tax, and bow down with those who bow down.",6,1,1,2,False,,6236,7,"[وأقيموا۟,ٱلصلوٰة,وءاتوا۟,ٱلزكوٰة,وٱركعوا۟,مع,ٱلرٰكعين]"
44,51,۞ أتأمرون ٱلناس بٱلبر وتنسون أنفسكم وأنتم تتلون ٱلكتٰب ۚ أفلا تعقلون,"Do you preach righteousness and fail to practice it yourselves, although you read the Scripture? Do you not understand?",6,1,1,3,False,,6236,12,"[۞,أتأمرون,ٱلناس,بٱلبر,وتنسون,أنفسكم,وأنتم,تتلون,ٱلكتٰب,ۚ,أفلا,تعقلون]"
45,52,وٱستعينوا۟ بٱلصبر وٱلصلوٰة ۚ وإنها لكبيرة إلا على ٱلخٰشعين,"And seek help through patience and prayer. Indeed, it is a burden except for the humble—",6,1,1,3,False,,6236,9,"[وٱستعينوا۟,بٱلصبر,وٱلصلوٰة,ۚ,وإنها,لكبيرة,إلا,على,ٱلخٰشعين]"
46,53,ٱلذين يظنون أنهم ملٰقوا۟ ربهم وأنهم إليه رٰجعون,those who are certain that they will meet their Lord and to Him they will return.,6,1,1,3,False,,6236,8,"[ٱلذين,يظنون,أنهم,ملٰقوا۟,ربهم,وأنهم,إليه,رٰجعون]"
47,54,يٰبنىٓ إسرٰٓءيل ٱذكروا۟ نعمتى ٱلتىٓ أنعمت عليكم وأنى فضلتكم على ٱلعٰلمين,O Children of Israel! Remember ˹all˺ the favours I granted you and how I honoured you above the others.,7,1,1,3,False,,6236,11,"[يٰبنىٓ,إسرٰٓءيل,ٱذكروا۟,نعمتى,ٱلتىٓ,أنعمت,عليكم,وأنى,فضلتكم,على,ٱلعٰلمين]"
48,55,وٱتقوا۟ يومۭا لا تجزى نفس عن نفسۢ شيـۭٔا ولا يقبل منها شفٰعةۭ ولا يؤخذ منها عدلۭ ولا هم ينصرون,"Guard yourselves against the Day on which no soul will be of help to another. No intercession will be accepted, no ransom taken, and no help will be given.",7,1,1,3,False,,6236,19,"[وٱتقوا۟,يومۭا,لا,تجزى,نفس,عن,نفسۢ,شيـۭٔا,ولا,يقبل,منها,شفٰعةۭ,ولا,يؤخذ,منها,عدلۭ,ولا,هم,ينصرون]"
49,56,وإذ نجينٰكم من ءال فرعون يسومونكم سوٓء ٱلعذاب يذبحون أبنآءكم ويستحيون نسآءكم ۚ وفى ذٰلكم بلآءۭ من ربكم عظيمۭ,"˹Remember˺ how We delivered you from the people of Pharaoh, who afflicted you with dreadful torment, slaughtering your sons and keeping your women. That was a severe test from your Lord.",7,1,1,3,False,,6236,19,"[وإذ,نجينٰكم,من,ءال,فرعون,يسومونكم,سوٓء,ٱلعذاب,يذبحون,أبنآءكم,ويستحيون,نسآءكم,ۚ,وفى,ذٰلكم,بلآءۭ,من,ربكم,عظيمۭ]"
50,57,وإذ فرقنا بكم ٱلبحر فأنجينٰكم وأغرقنآ ءال فرعون وأنتم تنظرون,"And ˹remember˺ when We parted the sea, rescued you, and drowned Pharaoh’s people before your very eyes.",7,1,1,3,False,,6236,10,"[وإذ,فرقنا,بكم,ٱلبحر,فأنجينٰكم,وأغرقنآ,ءال,فرعون,وأنتم,تنظرون]"
51,58,وإذ وٰعدنا موسىٰٓ أربعين ليلةۭ ثم ٱتخذتم ٱلعجل منۢ بعدهۦ وأنتم ظٰلمون,"And ˹remember˺ when We appointed forty nights for Moses, then you worshipped the calf in his absence, acting wrongfully.",7,1,1,3,False,,6236,12,"[وإذ,وٰعدنا,موسىٰٓ,أربعين,ليلةۭ,ثم,ٱتخذتم,ٱلعجل,منۢ,بعدهۦ,وأنتم,ظٰلمون]"
52,59,ثم عفونا عنكم منۢ بعد ذٰلك لعلكم تشكرون,Even then We ˹still˺ forgave you so perhaps you would be grateful.,7,1,1,3,False,,6236,8,"[ثم,عفونا,عنكم,منۢ,بعد,ذٰلك,لعلكم,تشكرون]"
53,60,وإذ ءاتينا موسى ٱلكتٰب وٱلفرقان لعلكم تهتدون,And ˹remember˺ when We gave Moses the Scripture—the standard ˹to distinguish between right and wrong˺ that perhaps you would be ˹rightly˺ guided.,7,1,1,3,False,,6236,7,"[وإذ,ءاتينا,موسى,ٱلكتٰب,وٱلفرقان,لعلكم,تهتدون]"
